Pickup Date,Month,Origin Zip,Destination Zip,Pieces,Weight,Commodity Class,Base Retail,R/ Lift Gate Delivery,R/ Fuel Surcharge,Billed
1/9/17,Jan,75261,77303,1,2000,60,176.21,,21.49,$197.70 
1/10/17,Jan,75261,29605,1,447,60,155.11,,18.92,$174.03 
1/11/17,Jan,75261,76048,1,331,60,130.8,80.97,16.36,$228.13 
1/11/17,Jan,75261,76048,1,331,60,130.8,80.97,16.36,$228.13 
1/11/17,Jan,75261,75028,1,1236,60,145,,18.13,$163.13 
1/12/17,Jan,75261,76051,2,2815,60,130.8,80.97,16.36,$228.13 
1/12/17,Jan,75261,33035,1,285,60,141.62,80.05,17.71,$239.38 
1/17/17,Jan,75261,33404,1,383,60,141.61,80.04,17.84,$239.49 
1/26/17,Jan,75261,76051,2,2605,60,130.8,80.97,16.36,$228.13 
1/26/17,Jan,75261,76051,2,3259,60,156.93,,19.62,$176.55 
2/1/17,Feb,75261,37857,1,295,60,141.97,,30.38,$172.35 
2/2/17,Feb,75261,76011,1,1116,60,130.82,80.98,16.22,$228.02 
2/14/17,Feb,75261,37620,1,230,60,155.07,,19.08,$174.15 
2/14/17,Feb,75261,80525,1,984,60,173.64,77.84,21.36,$272.84 
2/22/17,Feb,75261,70094,1,1280,60,167.82,,20.82,$188.64 
2/27/17,Feb,75261,37857,1,295,60,141.94,,30.51,$172.45 
3/16/17,Mar,75261,80525,1,592,60,173.6,77.82,21.71,$273.13 
3/20/17,Mar,75261,71227,1,704,60,136.73,,29.26,$165.99 
3/20/17,Mar,75261,43551,1,1033,60,140.21,,30,$170.21 
3/23/17,Mar,75261,78753,1,110,125,136.76,,29.13,$165.89 
3/23/17,Mar,75261,78415,1,110,125,136.76,,29.13,$165.89 
3/23/17,Mar,75261,66502,1,110,125,136.76,,29.13,$165.89 
3/23/17,Mar,75261,37764,1,110,125,136.76,,29.13,$165.89 
3/23/17,Mar,75261,46140,1,702,60,136.76,,29.13,$165.89 
3/23/17,Mar,75261,80525,1,110,125,136.76,,29.13,$165.89 
3/23/17,Mar,75261,76051,2,2316,60,145.04,,17.98,$163.02 
3/23/17,Mar,75261,77357,1,310,60,145.04,,17.98,$163.02 
3/23/17,Mar,75261,29609,1,1486,60,166.87,,35.54,$202.41 
3/24/17,Mar,75261,32114,1,310,60,142,,30.24,$172.24 
3/28/17,Mar,75261,80301,1,428,60,142,,30.24,$172.24 
3/28/17,Mar,75261,71227,4,3036,60,170.97,,36.41,$207.38 
4/5/17,Apr,75261,29605,1,916,60,136.76,,29.13,$165.89 
4/10/17,Apr,75261,34288,1,240,60,141.97,,30.38,$172.35 
4/11/17,Apr,75261,34288,1,240,60,141.97,,30.38,$172.35 
4/11/17,Apr,75261,32438,1,691,60,141.97,,30.38,$172.35 
4/11/17,Apr,75261,80525,1,1083,60,156.63,,33.52,$520.30 
4/17/17,Apr,75261,78617,2,671,60,141.94,,30.51,$172.45 
4/19/17,Apr,75261,29605,1,476,60,141.91,,30.65,$172.56 
4/20/17,Apr,75261,78617,1,150,60,145,,18.13,$163.13 
4/21/17,Apr,75261,30144,1,638,60,141.91,,30.65,$172.56 
4/24/17,Apr,75261,75964,1,350,60,123.85,,52.25,$294.16 
4/25/17,Apr,75261,75964,1,665,60,141.91,,30.65,$395.09 
4/26/17,Apr,75261,80525,1,365,60,141.91,,30.65,$172.56 
4/27/17,Apr,75261,29605,1,456,60,136.67,,29.52,$166.19 
4/28/17,Apr,75261,28732,2,1336,60,153.68,,33.19,$186.87 
5/2/17,May,75261,32218,2,589,70,141.91,,30.65,$172.56 
5/2/17,May,75261,43551,1,852,60,142.69,,30.82,$173.51 
5/3/17,May,75261,71227,1,981,60,136.67,,29.52,$166.19 
5/8/17,May,75261,30071,1,369,60,141.94,,30.51,$172.45 
5/12/17,May,75261,33166,1,144,125,141.97,,30.38,$172.35 
5/12/17,May,75261,75028,1,1725,60,141.97,,30.38,$172.35 
5/12/17,May,75261,27616,1,344,125,154.49,,33.06,$187.55 
5/17/17,May,75261,77021,1,1454,60,142,,30.24,$172.24 
5/24/17,May,75261,29609,1,450,60,155.11,,18.92,$174.03 
5/24/17,May,75261,43551,1,362,60,160.11,,19.53,$179.64 
5/30/17,May,75261,85711,1,103,125,142,,30.24,$172.24 
5/30/17,May,75261,85024,1,103,125,142,,30.24,$172.24 
5/30/17,May,75261,37764,1,103,60,142,,30.24,$172.24 
5/30/17,May,75261,85711,1,103,125,142,,30.24,$172.24 
5/30/17,May,75261,37764,1,103,125,142,,30.24,$172.24 
5/30/17,May,75261,76051,2,1799,125,145.11,,17.7,$162.81 
5/30/17,May,75261,79935,1,103,125,145.11,,17.7,$162.81 
5/31/17,May,75261,38118,1,888,60,136.54,,27.88,$164.42 
5/31/17,May,75261,32804,1,252,60,141.94,,30.51,$172.45 
5/31/17,May,75261,29605,1,473,60,155.11,,18.92,$174.03 
5/31/17,May,75261,46705,1,759,60,160.11,,19.53,$179.64 
5/31/17,May,75261,71227,2,1653,60,164.79,,33.65,$198.44 
6/8/17,Jun,75261,46140,1,744,60,148.71,,30.27,$178.98 
6/12/17,Jun,75261,60517,1,117,60,122.07,,26.12,$148.19 
6/14/17,Jun,75261,37917,1,375,60,155.04,,19.22,$174.26 
6/15/17,Jun,75261,29605,1,472,60,115.76,,23.29,$139.05 
