,Pieces,Weight,Commodity Class,Base Retail,distance(mi)
0,1,2000,60.0,176.21,198.72625632626466
1,1,447,60.0,155.11,851.9677785305838
2,1,331,60.0,130.8,56.30205910973825
3,1,331,60.0,130.8,56.30205910973825
4,1,1236,60.0,145.0,10.439673017513833
5,2,2815,60.0,130.8,3.985096754567705
6,1,285,60.0,141.62,1127.4485411055168
7,1,383,60.0,141.61,1100.9069014314161
8,2,2605,60.0,130.8,3.985096754567705
9,2,3259,60.0,156.93,3.985096754567705
10,1,295,60.0,141.97,836.0774166110433
11,1,1116,60.0,130.82,10.917426492672297
12,1,230,60.0,155.07,884.893840164611
13,1,984,60.0,173.64,688.9371251894886
14,1,1280,60.0,167.82,454.547812584364
15,1,295,60.0,141.94,836.0774166110433
16,1,592,60.0,173.6,688.9371251894886
17,1,704,60.0,136.73,266.41194217461674
18,1,1033,60.0,140.21,949.347064190071
19,1,110,125.0,136.76,176.9067283457421
20,1,110,125.0,136.76,362.48747592819706
21,1,110,125.0,136.76,428.244137938576
22,1,110,125.0,136.76,794.6065847875396
23,1,702,60.0,136.76,788.2514065773051
24,1,110,125.0,136.76,688.9371251894886
25,2,2316,60.0,145.04,3.985096754567705
26,1,310,60.0,145.04,217.59021215951694
27,1,1486,60.0,166.87,852.8714258361464
28,1,310,60.0,142.0,981.017487576001
29,1,428,60.0,142.0,670.0357660708671
30,4,3036,60.0,170.97,266.41194217461674
31,1,916,60.0,136.76,851.9677785305838
32,1,240,60.0,141.97,979.5046267447154
33,1,240,60.0,141.97,979.5046267447154
34,1,691,60.0,141.97,703.2196122233318
35,1,1083,60.0,156.63,688.9371251894886
36,2,671,60.0,141.94,192.3484045061464
37,1,476,60.0,141.91,851.9677785305838
38,1,150,60.0,145.0,192.3484045061464
39,1,638,60.0,141.91,722.2135027931457
40,1,350,60.0,123.85,162.57539632972566
41,1,665,60.0,141.91,162.57539632972566
42,1,365,60.0,141.91,688.9371251894886
43,1,456,60.0,136.67,851.9677785305838
44,2,1336,60.0,153.68,852.6233875434749
45,2,589,70.0,141.91,919.6772274915619
46,1,852,60.0,142.69,949.347064190071
47,1,981,60.0,136.67,266.41194217461674
48,1,369,60.0,141.94,743.6773699394266
49,1,144,125.0,141.97,1118.5844441441166
50,1,1725,60.0,141.97,10.439673017513833
51,1,344,125.0,154.49,1074.0049851388987
52,1,1454,60.0,142.0,241.72107660143942
53,1,450,60.0,155.11,852.8714258361464
54,1,362,60.0,160.11,949.347064190071
55,1,103,125.0,142.0,809.1616704337822
56,1,103,125.0,142.0,869.5449434615468
57,1,103,60.0,142.0,794.6065847875396
58,1,103,125.0,142.0,809.1616704337822
59,1,103,125.0,142.0,794.6065847875396
60,2,1799,125.0,145.11,3.985096754567705
61,1,103,125.0,145.11,549.2371703143425
62,1,888,60.0,136.54,433.1888034242847
63,1,252,60.0,141.94,975.943937020399
64,1,473,60.0,155.11,851.9677785305838
65,1,759,60.0,160.11,887.4926029535294
66,2,1653,60.0,164.79,266.41194217461674
67,1,744,60.0,148.71,788.2514065773051
68,1,117,60.0,122.07,785.2192691685002
69,1,375,60.0,155.04,778.315626947432
70,1,472,60.0,115.76,851.9677785305838
71,1,460,60.0,116.19,722.2135027931457
72,1,108,60.0,155.14,975.943937020399
73,1,645,60.0,166.62,688.9371251894886
75,1,266,60.0,155.25,678.2924080648087
76,1,250,60.0,142.09,1030.262293878059
79,1,681,60.0,145.32,266.41194217461674
80,1,1000,60.0,152.12,2031.1042190087455
81,1,190,60.0,150.29,948.9700206377872
82,1,190,65.0,166.02,1458.513071638565
83,1,190,65.0,166.62,821.571412604763
85,1,251,65.0,136.16,230.7945300506173
86,1,190,65.0,147.22,1195.9258954835066
87,1,190,65.0,150.29,948.9700206377872
88,1,190,65.0,150.29,727.008181012302
90,1,200,65.0,160.29,1008.2602029280096
93,1,412,65.0,145.21,266.41194217461674
94,1,479,65.0,160.21,949.347064190071
95,1,639,65.0,166.17,852.8714258361464
96,2,1197,65.0,177.93,987.452372129913
97,1,921,65.0,151.67,734.179149496537
98,1,170,65.0,127.1,1207.0363021188139
99,1,103,125.0,127.04,975.3007276696142
100,1,515,65.0,125.11,403.0902699858235
101,1,515,65.0,126.08,1679.6001692397203
102,1,315,65.0,167.66,1214.3305194649784
103,1,340,65.0,167.66,2025.8166720334611
104,1,123,125.0,125.11,2044.4487008216395
105,1,123,125.0,127.01,1032.2228038963501
106,1,475,65.0,169.15,851.9677785305838
107,1,226,65.0,169.15,940.8015798919938
108,1,109,125.0,127.01,1030.262293878059
109,1,270,65.0,127.01,1008.2602029280096
110,1,516,65.0,127.01,987.452372129913
111,1,729,65.0,128.4,788.2514065773051
112,1,1135,65.0,167.05,734.179149496537
113,1,396,65.0,127.01,949.347064190071
114,1,154,65.0,127.01,266.41194217461674
115,1,340,65.0,127.01,852.8714258361464
116,1,106,125.0,154.96,925.5441362840248
117,2,506,65.0,144.93,192.3484045061464
118,1,411,65.0,126.76,266.41194217461674
119,1,470,65.0,126.76,887.4926029535294
120,1,1146,65.0,128.0,433.1888034242847
121,1,336,65.0,126.7,743.6773699394266
122,1,700,65.0,129.7,858.9871490269865
123,1,129,125.0,124.87,103.06457593525506
124,1,129,125.0,124.87,1164.2022041762195
125,1,481,65.0,126.73,851.9677785305838
126,1,1434,65.0,138.18,266.41194217461674
127,1,891,65.0,154.33,987.452372129913
128,1,214,65.0,123.71,1013.234597063457
129,1,282,65.0,123.71,1216.2865947525993
130,1,176,65.0,141.64,1167.23518213323
131,1,282,65.0,151.78,1216.2865947525993
132,1,307,65.0,167.46,1312.6706921797543
133,1,586,65.0,124.84,1197.6171330364539
134,1,646,70.0,170.89,1110.370211622377
135,1,767,65.0,132.76,778.315626947432
136,1,354,65.0,126.73,722.2135027931457
137,4,4664,65.0,68.49,1228.2451481937637
138,1,529,65.0,144.62,1170.375978760115
139,1,1089,65.0,164.8,987.452372129913
